TicketCreatedDateTime,CustID
12-11-2018 15:27,3
12-11-2018 15:29,3
19-09-2018 12:23,4
30-08-2018 12:18,4
14-09-2018 12:55,4
14-09-2018 12:24,4
07-11-2018 18:36,4
18-07-2018 17:32,12
18-12-2018 13:00,12
21-11-2018 15:54,12
31-07-2018 15:24,12
30-08-2018 08:09,12
20-09-2018 05:14,12
17-07-2018 16:26,12
08-09-2018 03:23,12
09-08-2018 18:26,12
31-07-2018 15:52,12
18-07-2018 01:55,12
16-08-2018 14:37,12
31-07-2018 15:34,12
09-08-2018 18:09,12
17-07-2018 18:12,12
05-07-2018 11:43,12
01-08-2018 04:15,12
01-08-2018 05:42,12
31-07-2018 15:27,12
28-09-2018 10:41,12
17-07-2018 11:11,12
19-09-2018 22:27,12
20-07-2018 10:01,12
16-08-2018 14:48,12
17-09-2018 16:26,12
16-08-2018 14:19,12
04-09-2018 12:44,12
20-11-2018 13:30,12
04-09-2018 12:39,12
04-09-2018 11:29,12
04-09-2018 12:40,12
31-07-2018 15:28,12
25-07-2018 14:20,12
06-07-2018 01:33,12
17-09-2018 15:48,12
27-12-2018 17:27,12
16-07-2018 18:02,12
20-07-2018 09:37,12
14-09-2018 16:18,12
18-07-2018 01:35,12
16-08-2018 14:45,12
17-07-2018 11:37,12
06-07-2018 01:22,12
29-08-2018 11:39,12
09-08-2018 18:31,12
10-09-2018 11:35,12
01-08-2018 12:30,12
31-07-2018 15:21,12
18-07-2018 01:37,12
09-11-2018 12:10,12
06-07-2018 01:57,12
14-08-2018 17:01,13
07-12-2018 19:16,14
15-09-2018 10:01,14
17-12-2018 11:45,14
06-11-2018 01:53,15
06-11-2018 01:52,15
28-08-2018 16:57,16
27-11-2018 12:26,17
27-11-2018 12:20,17
04-07-2018 18:41,17
19-11-2018 16:36,18
01-11-2018 16:01,18
23-12-2018 19:39,18
12-10-2018 16:31,18
25-09-2018 18:48,20
29-07-2018 17:22,21
26-11-2018 10:35,21
23-08-2018 21:47,21
17-07-2018 22:02,21
29-07-2018 20:56,21
03-07-2018 16:37,22
03-08-2018 10:56,22
08-12-2018 18:05,22
03-08-2018 11:47,22
15-12-2018 10:58,22
09-07-2018 18:05,24
09-07-2018 18:11,24
19-08-2018 22:17,25
10-09-2018 21:55,25
06-07-2018 20:45,25
06-07-2018 21:06,25
14-12-2018 21:06,26
20-12-2018 16:51,28
03-11-2018 12:24,29
23-10-2018 19:18,29
04-10-2018 17:46,32
29-09-2018 19:33,32
29-09-2018 13:18,32
10-11-2018 14:58,32
09-10-2018 14:25,32
05-11-2018 12:01,33
16-09-2018 18:09,33
13-09-2018 09:57,33
09-09-2018 16:34,33
05-11-2018 19:45,33
05-09-2018 16:03,33
10-10-2018 18:59,33
19-11-2018 17:53,33
